t1,t2,rho_total,rho_bcc,rho_iwp,w_union,w_phase,overlap,active_elements
-3.0,-6.0,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.941666666666666,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.883333333333334,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.825,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.766666666666667,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.708333333333333,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.65,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.591666666666667,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.533333333333333,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.475,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.416666666666667,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.358333333333333,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.3,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.241666666666667,0.234375,0.015380859375,0.23046875,0.065625,0.06256206554121152,0.011474609375,7680
-3.0,-5.183333333333334,0.23828125,0.015380859375,0.234375,0.06454918032786885,0.06158357771260997,0.011474609375,7808
-3.0,-5.125,0.23828125,0.015380859375,0.234375,0.06454918032786885,0.06158357771260997,0.011474609375,7808
-3.0,-5.066666666666666,0.23828125,0.015380859375,0.234375,0.06454918032786885,0.06158357771260997,0.011474609375,7808
-3.0,-5.008333333333333,0.23828125,0.015380859375,0.234375,0.06454918032786885,0.06158357771260997,0.011474609375,7808
-3.0,-4.95,0.24609375,0.015380859375,0.2421875,0.0625,0.05971563981042654,0.011474609375,8064
-3.0,-4.891666666666667,0.24609375,0.015380859375,0.2421875,0.0625,0.05971563981042654,0.011474609375,8064
-3.0,-4.833333333333333,0.24609375,0.015380859375,0.2421875,0.0625,0.05971563981042654,0.011474609375,8064
-3.0,-4.775,0.24609375,0.015380859375,0.2421875,0.0625,0.05971563981042654,0.011474609375,8064
