coefficient,D1111,D1122,D1212
b1,187695.71217909196,16049.205307841647,34127.20920088656
b2,-2252357.6800277545,-196398.91386462003,-417040.9590212967
b3,10040109.669965763,889459.5321412627,1887669.697597759
b4,-19717680.77452229,-1773375.703670754,-3757655.562984141
b5,14424463.76899076,1324046.1397848013,2788539.2505536494
b6,2199.8526870806186,1376.3085792479524,1535.3587342839664
b7,-499.5223985111521,-420.11760678042816,-524.4926495837105
b8,-5968.432216414518,-3799.915143896149,-4047.8506412732686
b9,2706.6669656662084,2080.0118628754713,2051.686522166353
