iteration,compliance,mean_x,mean_rho,change
0,3.1937175144365497,0.292929292929293,0.3,0.24621757304498654
1,1.079589943533284,0.29292929292929304,0.30000000000000004,0.27825485391658705
2,0.6827536588312006,0.29292929292929304,0.30000000000000004,0.296277516027039
3,1.1660080401166173,0.292929292929293,0.3,0.2013568410308946
4,0.6613036511114123,0.292929292929293,0.3,0.19014341762776155
5,1.0202592875956202,0.29292929292929293,0.3,0.21110785027840157
6,0.6804846146359915,0.29292929292929293,0.29999999999999993,0.2414330949097442
7,1.0160152846080077,0.292929292929293,0.30000000000000004,0.23613498385053028
8,0.5325960969712955,0.292929292929293,0.3,0.1920388000509053
9,0.9144405333746022,0.29292929292929293,0.3,0.19154163041241645
10,0.5386312422123687,0.292929292929293,0.30000000000000004,0.19415452038176523
11,0.8738998201621871,0.29292929292929293,0.29999999999999993,0.19145909125745242
12,0.47431579574943505,0.292929292929293,0.3,0.2413268857076763
13,0.6186726400347928,0.292929292929293,0.30000000000000004,0.20287321232996502
14,0.3860287872083274,0.29292929292929293,0.3,0.263436665908108
15,0.5829309304736418,0.29292929292929293,0.3,0.22703867663480878
16,0.3729341242658707,0.292929292929293,0.3,0.24222333009943076
17,0.4910641285744165,0.29292929292929293,0.3,0.19862220121509128
18,0.3689749551986554,0.29292929292929293,0.3,0.2158931897757012
19,0.4490643027719879,0.2929292929292929,0.2999999999999999,0.21914507922160142
20,0.2920883670061513,0.29292929292929293,0.3,0.23569349211198196
21,0.3800128894560326,0.29292929292929293,0.3,0.19297496938167005
22,0.26906028584297925,0.29292929292929293,0.3,0.19687455574369922
23,0.3725424123929467,0.29292929292929293,0.3,0.18362774315311753
24,0.3010271710225243,0.2929292929292929,0.2999999999999999,0.19714580858425124
25,0.3845941939883273,0.29292929292929293,0.29999999999999993,0.17221503404729183
26,0.2631093281262248,0.292929292929293,0.3,0.1524762239131166
27,0.3760301655767301,0.29292929292929293,0.3,0.15519684771077052
28,0.2500544309756565,0.292929292929293,0.3,0.14557992296402741
29,0.3690343364555413,0.29292929292929293,0.29999999999999993,0.157810096039268
30,0.2786526053265833,0.29292929292929293,0.3,0.1551253650087354
31,0.3719059967367677,0.292929292929293,0.3,0.17303905927865026
32,0.23402141735032445,0.292929292929293,0.3,0.12880565491405163
33,0.3536679982841757,0.29292929292929293,0.29999999999999993,0.13845810081781698
34,0.24431497197654373,0.292929292929293,0.3,0.1345336959924454
35,0.3476459916568192,0.29292929292929293,0.3,0.13307281602380094
36,0.2911774129755449,0.29292929292929293,0.3,0.13668188644968726
37,0.3621006519192329,0.292929292929293,0.3,0.13850410575237476
38,0.2273149590946743,0.29292929292929293,0.3,0.12401987678761806
39,0.3426180667257038,0.29292929292929293,0.3,0.13548148667699098
40,0.2332705178171851,0.29292929292929293,0.29999999999999993,0.11995308563618173
41,0.33246885973002,0.29292929292929293,0.29999999999999993,0.14242471440632648
42,0.2826618344007864,0.29292929292929293,0.3,0.13557398087802155
43,0.35350119468127217,0.29292929292929293,0.3,0.1521433162611547
44,0.21868959255017195,0.29292929292929293,0.3,0.1273412647708736
45,0.33173464647300643,0.292929292929293,0.3,0.19123443941542773
46,0.23831806436703837,0.29292929292929293,0.3,0.17732404944519548
47,0.3218953135367598,0.2929292929292929,0.29999999999999993,0.14943144267120365
48,0.2808710585204036,0.29292929292929293,0.3,0.14350698667212708
49,0.33864295765471647,0.29292929292929293,0.3,0.1571034969040695
